Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Review Score,Number of Reviews,Rating,Star Rating,Deal Info,Distance from Attraction,Room Type,Location Score,price
2025-09-21,booking.com,2,2025-10-03,2025-10-06,The Omni King Edward Hotel,"Old Town Toronto, Toronto (Old Town Toronto)",N/A,N/A,N/A,N/A,N/A,0.3 miles from downtown,Deluxe Room - 1 King Bed,N/A,$310
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Stylish Condo Downtown Near CN Tower - Free parking,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.1 miles from downtown,One-Bedroom Apartment,N/A,$215
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Delta Hotels by Marriott Toronto,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.7 miles from downtown,King Room with Lake View,N/A,$380
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Modern Apartment Close To The Beach with Parking,Toronto,N/A,N/A,N/A,N/A,N/A,3.6 miles from downtown,Two-Bedroom Apartment,N/A,$317
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Designer One Bedroom Suite - Entertainment District Toronto,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.4 miles from downtown,One-Bedroom Apartment,N/A,$290
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Deluxe Inn,"Etobicoke, Toronto",N/A,N/A,N/A,N/A,N/A,8.2 miles from downtown,Queen Room - Non-Smoking,N/A,$90
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Modern Toronto Lake View & CN Tower View - One Free Parking,"The Harbourfront, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.6 miles from downtown,Two-Bedroom Apartment,N/A,$380
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Downtown Luxury Victorian Retreat,"Cabbagetown, Toronto (Cabbagetown)",N/A,N/A,N/A,N/A,N/A,0.8 miles from downtown,Deluxe Queen Room with Garden View,N/A,$339
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"Toor Hotel Toronto, Part Of Jdv By Hyatt","Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,0.5 miles from downtown,King Room,N/A,$253
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Sunset Bliss: Elegant 2BR Condo with Scenic Views!,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.1 miles from downtown,Two-Bedroom Apartment,N/A,$225
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Madison Manor Boutique Hotel,"The Annex, Toronto (The Annex)",N/A,N/A,N/A,N/A,N/A,1.5 miles from downtown,King or Queen Room,N/A,$210
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Nobu Suites - Toronto's Entertainment District,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.4 miles from downtown,Two-Bedroom Apartment,N/A,$399
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Best Western Plus Toronto North York Hotel & Suites,"North York, Toronto",N/A,N/A,N/A,N/A,N/A,10.3 miles from downtown,Queen Room,N/A,$139
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Park Hyatt Toronto,"The Annex, Toronto (The Annex)",N/A,N/A,N/A,N/A,N/A,1.4 miles from downtown,One-Bedroom Suite - High Floor,N/A,$678
2025-09-21,booking.com,2,2025-10-03,2025-10-06,The Hazelton Hotel,"Bloor-Yorkville, Toronto (Bloor-Yorkville)",N/A,N/A,N/A,N/A,N/A,1.4 miles from downtown,"Deluxe Room, 1 King Bed, Balcony",N/A,$754
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Sutton Place Hotel Toronto,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.7 miles from downtown,Classic Room - 1 King Bed,N/A,$288
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Hazelton Suites - Yorkville - Indoor Pool & Hot Tub,"Bloor-Yorkville, Toronto (Bloor-Yorkville)",N/A,N/A,N/A,N/A,N/A,1.4 miles from downtown,Apartment with View and Balcony,N/A,$580
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Holiday Inn Express Toronto-North York by IHG,"North York, Toronto",N/A,N/A,N/A,N/A,N/A,10.2 miles from downtown,Queen Room with Accessible Transfer Shower - Non-Smoking,N/A,$135
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Best Western Premier Toronto Airport Carlingview Hotel,"Etobicoke, Toronto (Northeast Mississauga)",N/A,N/A,N/A,N/A,N/A,10.7 miles from downtown,King Room - Non-Smoking/Shower Only,N/A,$124
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Montecassino Hotel & Event Centre,"North York, Toronto",N/A,N/A,N/A,N/A,N/A,8.6 miles from downtown,Run Of The House,N/A,$155
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Toronto Airport Marriott Hotel,"Etobicoke, Toronto",N/A,N/A,N/A,N/A,N/A,10.8 miles from downtown,King Room,N/A,$166
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Marriott Downtown at CF Toronto Eaton Centre,"Yonge - Dundas, Toronto (Yonge - Dundas)",N/A,N/A,N/A,N/A,N/A,0.2 miles from downtown,"Guest room, 2 Double",N/A,$257
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Yonge Suites Apart Hotel,"Yonge - Dundas, Toronto (Yonge Street)",N/A,N/A,N/A,N/A,N/A,0.2 miles from downtown,One-Bedroom Apartment,N/A,$245
2025-09-21,booking.com,2,2025-10-03,2025-10-06,New Panoramic view 2BD & Den in Downtown Toronto,"The Village, Toronto (Yonge Street)",N/A,N/A,N/A,N/A,Late Escape Deal,0.8 miles from downtown,Two-Bedroom Apartment with Balcony,N/A,$276
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Gabby's Place Downtown Core,"Cabbagetown, Toronto (Cabbagetown)",N/A,N/A,N/A,N/A,N/A,0.8 miles from downtown,One-Bedroom Suite,N/A,$201
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Deluxe Queen Rooms Downtown,Toronto,N/A,N/A,N/A,N/A,N/A,2.9 miles from downtown,Queen Room with Shared Bathroom,N/A,$98
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Beautiful Luxurious Modern Condo With Breathtaking Views,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.7 miles from downtown,Two-Bedroom Apartment,N/A,$452
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"Chic 3BR apartment in Queen West, Downtown Toronto",Toronto,N/A,N/A,N/A,N/A,N/A,3.1 miles from downtown,Three-Bedroom Apartment,N/A,$145
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Village at York U,"North York, Toronto",N/A,N/A,N/A,N/A,N/A,9.8 miles from downtown,Deluxe Double Room,N/A,$94
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Modern Lux Family Rooms - KingBed - Near Sheppard W Station Toronto,"North York, Toronto",N/A,N/A,N/A,N/A,N/A,8.4 miles from downtown,Family Room,N/A,$114
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Beautiful Modern Toronto Luxurious Scotiabank Arena,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.6 miles from downtown,Apartment with Lake View,N/A,$476
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Cozy Upper Beaches Apartment,Toronto,N/A,N/A,N/A,N/A,N/A,3.6 miles from downtown,Two-Bedroom Apartment,N/A,$181
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Bedroom in Corso Italia Neighborhood,Toronto,N/A,N/A,N/A,N/A,Late Escape Deal,4.1 miles from downtown,Apartment,N/A,$98
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Downtown Toronto 2 bedrooms with parking,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,Late Escape Deal,0.7 miles from downtown,Two-Bedroom Apartment with Balcony,N/A,$486
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Fresh 3BR Home in Junction Area WFH Setup Backyard,Toronto,N/A,N/A,N/A,N/A,N/A,4.4 miles from downtown,Holiday Home,N/A,$186
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Filmores Hotel,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,0.6 miles from downtown,Queen Room,N/A,$155
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Designer 3Br & 2WR Townhouse,Toronto,N/A,N/A,N/A,N/A,N/A,3.4 miles from downtown,Three-Bedroom Apartment,N/A,$217
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"Room in cozy house close to Lawrence Ave, WiFi, parking","North York, Toronto",N/A,N/A,N/A,N/A,N/A,5.5 miles from downtown,Deluxe Double or Twin Room,N/A,$72
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Le Germain Hotel Maple Leaf Square,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.6 miles from downtown,Classic King Room,N/A,$309
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Comfort Home Toronto,"Scarborough, Toronto",N/A,N/A,N/A,N/A,N/A,8.5 miles from downtown,Standard Queen Room,N/A,$78
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Downtown Toronto Condo CN Tower,"The Harbourfront, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,Late Escape Deal,0.7 miles from downtown,One-Bedroom Apartment,N/A,$326
2025-09-21,booking.com,2,2025-10-03,2025-10-06,The Broadview Hotel,Toronto,N/A,N/A,N/A,N/A,N/A,1.7 miles from downtown,Deluxe King Room,N/A,$433
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Large 2BR on Bay Street 4 Beds with Balcony,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,0.7 miles from downtown,Two-Bedroom Deluxe Apartment with Balcony,N/A,$364
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"BISHA, a Luxury Collection Hotel, Toronto","Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.7 miles from downtown,The Nina King Room with City View,N/A,$414
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Midtown 2 Bedroom Apartment,Toronto,N/A,N/A,N/A,N/A,N/A,3.6 miles from downtown,Deluxe Double Room,N/A,$120
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Chic 2BR Downtown King Suite Parking Sleeps 6,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.2 miles from downtown,Apartment,N/A,$341
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Lum The Queen,Toronto,N/A,N/A,N/A,N/A,N/A,1.7 miles from downtown,Suite,N/A,$250
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Metropolis Loft - CN Tower,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.6 miles from downtown,One-Bedroom Suite,N/A,$248
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Basement Suite with Private Patio in Davenport,Toronto,N/A,N/A,N/A,N/A,N/A,3.1 miles from downtown,Apartment,N/A,$125
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Private Rooms in House in North York Shared Kitchen,"North York, Toronto",N/A,N/A,N/A,N/A,N/A,10.4 miles from downtown,Double Room with Shared Bathroom,N/A,$61
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Relax in East York Space Share,Toronto,N/A,N/A,N/A,N/A,N/A,3.5 miles from downtown,Double Room with Shared Bathroom,N/A,$58
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Beautiful Townhouse In Toronto,"Scarborough, Toronto",N/A,N/A,N/A,N/A,N/A,6.6 miles from downtown,Four-Bedroom Apartment,N/A,$157
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"The Ritz-Carlton, Toronto","Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.5 miles from downtown,City View Room - 1 King bed,N/A,$674
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Modern Home near Stockyards,Toronto,N/A,N/A,N/A,N/A,N/A,4.9 miles from downtown,Two-Bedroom House,N/A,$205
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Downtown Charm 2BR Retreat in Prime Location,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.6 miles from downtown,Apartment,N/A,$242
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Nobu Hotel Toronto,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.6 miles from downtown,Deluxe King Room,N/A,$693
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Immaculate Executive Townhouse 3Br&3Ba at Lawrence Park,"North York, Toronto",N/A,N/A,N/A,N/A,N/A,4.9 miles from downtown,Three-Bedroom Townhouse,N/A,$378
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"CN Tower View with Free Parking, Pool, Gym, Free Skating, and More","Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.5 miles from downtown,One-Bedroom Apartment,N/A,$324
2025-09-21,booking.com,2,2025-10-03,2025-10-06,3 BR House in Toronto Downtown,Toronto,N/A,N/A,N/A,N/A,N/A,3 miles from downtown,Apartment,N/A,$280
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Simple & Tidy Private Rooms,"Scarborough, Toronto",N/A,N/A,N/A,N/A,N/A,11 miles from downtown,Standard Double Room with Shared Bathroom,N/A,$72
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"Stylish Stay Toronto Oasis - Reg # STR-2309-HMVRVX exp Feb 21, 2026","The Village, Toronto (The Village)",N/A,N/A,N/A,N/A,N/A,0.5 miles from downtown,One-Bedroom Apartment,N/A,$212
2025-09-21,booking.com,2,2025-10-03,2025-10-06,MMG Executive Suite - VIEWS FROM THE TOP,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.7 miles from downtown,One-Bedroom Apartment,N/A,$291
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Toronto Bloor & Yonge Luxury Condo,"The Village, Toronto (The Village)",N/A,N/A,N/A,N/A,N/A,1 miles from downtown,One-Bedroom Apartment,N/A,$163
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Etobicoke Townhouse Minutes Away from Waterfront,"Etobicoke, Toronto",N/A,N/A,N/A,N/A,N/A,8.6 miles from downtown,Two-Bedroom Apartment with Terrace,N/A,$178
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Unbeatable Lake View 1bd & den in Downtown Toronto,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.1 miles from downtown,One-Bedroom Apartment,N/A,$241
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Modern Apartments 2BR 2BA Lillian St with Balcony,Toronto,N/A,N/A,N/A,N/A,Late Escape Deal,3.9 miles from downtown,Two-Bedroom Apartment with Balcony,N/A,$219
2025-09-21,booking.com,2,2025-10-03,2025-10-06,A Stunning Chalet Style Home,"Etobicoke, Toronto",N/A,N/A,N/A,N/A,N/A,11.9 miles from downtown,Deluxe Quadruple Room,N/A,$105
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Beautiful house near Eglinton GO,"Scarborough, Toronto",N/A,N/A,N/A,N/A,N/A,10.1 miles from downtown,Three-Bedroom House,N/A,$232
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Modern Condo 1 BD 1BA with a Sofabed Downtown,"Fashion District, Toronto (Fashion District)",N/A,N/A,N/A,N/A,N/A,1.2 miles from downtown,Apartment,N/A,$190
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"Modern 1BR King Suite, Central Downtown Toronto","Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.6 miles from downtown,One-Bedroom Apartment,N/A,$290
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Casa Hotel Contemporary 2BR Suite w Patio & BBQ,Toronto,N/A,N/A,N/A,N/A,N/A,2.9 miles from downtown,Two-Bedroom House,N/A,$193
2025-09-21,booking.com,2,2025-10-03,2025-10-06,N7 Castle Green Retreat-Hot Tub,"Etobicoke, Toronto",N/A,N/A,N/A,N/A,N/A,8.7 miles from downtown,Three-Bedroom House,N/A,$425
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Private Balcony Studio Apartment for 5 People at Queen Street Downtown,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,0.9 miles from downtown,Two-Bedroom Apartment,N/A,$192
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Beautiful Lower level 2 bedroom aprt,Toronto,N/A,N/A,N/A,N/A,N/A,4 miles from downtown,Two-Bedroom Apartment,N/A,$161
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Shangri-La Toronto,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.3 miles from downtown,Deluxe King Room,N/A,$462
2025-09-21,booking.com,2,2025-10-03,2025-10-06,2BR 2BA Suite with Sofa Bed by Financial District,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.3 miles from downtown,Two-Bedroom Apartment with City View,N/A,$322
2025-09-21,booking.com,2,2025-10-03,2025-10-06,The St. Regis Toronto,"Financial District, Toronto (Financial District)",N/A,N/A,N/A,N/A,N/A,0.2 miles from downtown,"Deluxe, King Bed, Guest room, 1 King, City view",N/A,$449
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Vita House near Rogers Stadium and Yorkdale Shopping Center,"North York, Toronto",N/A,N/A,N/A,N/A,Late Escape Deal,8.5 miles from downtown,Queen Room,N/A,$68
2025-09-21,booking.com,2,2025-10-03,2025-10-06,The Roland Inviting 2BR Basement Suite in Downtown Toronto,"Old Town Toronto, Toronto (Old Town Toronto)",N/A,N/A,N/A,N/A,N/A,1.3 miles from downtown,Suite,N/A,$214
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Classy and Luxury 2 bedroom apartment 5 mins to Dundas Square,"The Village, Toronto (The Village)",N/A,N/A,N/A,N/A,N/A,0.5 miles from downtown,Two-Bedroom Apartment,N/A,$372
2025-09-21,booking.com,2,2025-10-03,2025-10-06,The Drake Hotel,"West Queen West, Toronto (West Queen West)",N/A,N/A,N/A,N/A,N/A,2.2 miles from downtown,Crash Pad,N/A,$264
2025-09-21,booking.com,2,2025-10-03,2025-10-06,1BR Apartment Near Queen West,Toronto,N/A,N/A,N/A,N/A,N/A,2.9 miles from downtown,Classic One-Bedroom Apartment with King Bed,N/A,$169
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Luxury & Modern Suite - Right by Dundas Square,"The Village, Toronto (The Village)",N/A,N/A,N/A,N/A,N/A,0.5 miles from downtown,Two-Bedroom Apartment with City View,N/A,$359
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Luxury Suites at Military Trail,"Scarborough, Toronto",N/A,N/A,N/A,N/A,N/A,13.7 miles from downtown,Deluxe Queen Room,N/A,$120
