Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Review Score,Number of Reviews,Rating,Star Rating,Deal Info,Distance from Attraction,Room Type,Location Score,price
2025-09-21,booking.com,2,2025-10-03,2025-10-06,SoHo Residences Toronto,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.7 miles from downtown,One-Bedroom Premier Apartment,N/A,$407
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Downtown CN Tower View Condo with Pool Hot tub and Gym,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.7 miles from downtown,Apartment,N/A,$298
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Executive 1 Bedroom Condo sleeps 2,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.5 miles from downtown,One-Bedroom Apartment,N/A,$253
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Willowdale Hotel Toronto North York,"North York, Toronto",N/A,N/A,N/A,N/A,N/A,8 miles from downtown,Small Double Room,N/A,$169
2025-09-21,booking.com,2,2025-10-03,2025-10-06,University of Toronto UTSG Suites,"Bloor-Yorkville, Toronto (Bloor-Yorkville)",N/A,N/A,N/A,N/A,N/A,1.4 miles from downtown,One-Bedroom Apartment,N/A,$294
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Downtown Oasis Condo with Balcony & Free Parking,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.1 miles from downtown,Two-Bedroom Apartment,N/A,$303
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Stylish & Pet-Friendly 2BR Suite in Trendy Leslieville with Portable AC Nearest Intersection Eastern Ave,Toronto,N/A,N/A,N/A,N/A,N/A,1.9 miles from downtown,Apartment,N/A,$199
2025-09-21,booking.com,2,2025-10-03,2025-10-06,specious private room with a washroom,Toronto,N/A,N/A,N/A,N/A,N/A,5.7 miles from downtown,Family Room with Private Bathroom,N/A,$87
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Delight 2BR Apartment in Downtown Toronto - Free Parking,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.1 miles from downtown,Two-Bedroom Apartment,N/A,$711
2025-09-21,booking.com,2,2025-10-03,2025-10-06,1BR Space - Downtown Toronto,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.6 miles from downtown,Apartment with City View,N/A,$206
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Yorkmills and Bayview !A Spacious and Modern Private Bdr with Shared Bathroom,"North York, Toronto",N/A,N/A,N/A,N/A,N/A,6.6 miles from downtown,Queen Room with Shared Bathroom,N/A,$71
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Taste Of Little Italy-Proud Canadian Owned,"Little Italy, Toronto (Little Italy)",N/A,N/A,N/A,N/A,N/A,1.6 miles from downtown,Deluxe Double Room,N/A,$192
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Yorkmills and Bayview !B Spacious and Stylish Private Bdr with Shared Bathroom,"North York, Toronto",N/A,N/A,N/A,N/A,N/A,6.5 miles from downtown,Queen Room with Shared Bathroom,N/A,$70
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Saint Lawrence Residences and Suites,"Old Town Toronto, Toronto (Old Town Toronto)",N/A,N/A,N/A,N/A,N/A,0.5 miles from downtown,Queen Room with Shared Bathroom,N/A,$160
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"Quiet & Comfortable Double Private Room, Free Parking","North York, Toronto",N/A,N/A,N/A,N/A,N/A,8.6 miles from downtown,Queen Room with Shared Bathroom,N/A,$106
2025-09-21,booking.com,2,2025-10-03,2025-10-06,RoryHouse,Toronto,N/A,N/A,N/A,N/A,N/A,7.1 miles from downtown,Standard Queen Room,N/A,$73
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Modern 1BR Condo in Church Yonge Corridor,"Bloor-Yorkville, Toronto (Bloor-Yorkville)",N/A,N/A,N/A,N/A,N/A,1.3 miles from downtown,Apartment,N/A,$241
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Chapman H,Toronto,N/A,N/A,N/A,N/A,N/A,5.3 miles from downtown,One-Bedroom Apartment,N/A,$156
2025-09-21,booking.com,2,2025-10-03,2025-10-06,1 Bedroom with Balcony on Bay St,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,0.9 miles from downtown,Apartment,N/A,$199
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Chic 2-Bedroom Condo in the Heart of Yorkville,"Bloor-Yorkville, Toronto (Bloor-Yorkville)",N/A,N/A,N/A,N/A,N/A,1.5 miles from downtown,Apartment,N/A,$273
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Yorkmills and Bayview !C Cozy & Stylish Private Bdr with Shared Bathroom,"North York, Toronto",N/A,N/A,N/A,N/A,N/A,6.6 miles from downtown,Queen Room with Shared Bathroom,N/A,$63
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Queen Street AC SUITE-Free Wifi& Self Checkin,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.3 miles from downtown,Triple Room with City View,N/A,$239
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Studio Gem in the lovely Waterfront Communities,"Old Town Toronto, Toronto (Old Town Toronto)",N/A,N/A,N/A,N/A,N/A,0.5 miles from downtown,One-Bedroom Apartment,N/A,$198
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Modern & Bright 2BR Suite - Stay Street,"Leslieville, Toronto (Leslieville)",N/A,N/A,N/A,N/A,N/A,3.3 miles from downtown,Suite,N/A,$143
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Upper Beaches Apartment,Toronto,N/A,N/A,N/A,N/A,N/A,3.6 miles from downtown,One-Bedroom Apartment,N/A,$184
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Luxury 2 Queen Beds Suite with Private Bathroom near Downsview Park Subway easy access Downtown,"North York, Toronto",N/A,N/A,N/A,N/A,N/A,7.4 miles from downtown,Quadruple Room with Private Bathroom,N/A,$123
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Modern Lakefront Escape Walk to Waterfront,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.2 miles from downtown,Apartment,N/A,$255
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Luxury Downtown Retreat Condo in Prime Location,"Yonge - Dundas, Toronto (Yonge - Dundas)",N/A,N/A,N/A,N/A,N/A,0.2 miles from downtown,Apartment,N/A,$290
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"BEAUTIFUL CANADIAN PLACE-Near Scotia Bank Arena, CN Tower, Union n Bars","Fashion District, Toronto (Fashion District)",N/A,N/A,N/A,N/A,N/A,1.1 miles from downtown,Double Room,N/A,$120
2025-09-21,booking.com,2,2025-10-03,2025-10-06,132 Chatham ave,Toronto,N/A,N/A,N/A,N/A,N/A,3 miles from downtown,One-Bedroom Apartment,N/A,$124
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Central Toronto Economical Stay-Stress Free Checkin,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,0.3 miles from downtown,Budget Triple Room,N/A,$129
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Sunset Views in Chic Condo by Cn Tower,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.6 miles from downtown,Apartment with City View,N/A,$246
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Dairy Homestay,"Scarborough, Toronto",N/A,N/A,N/A,N/A,N/A,8.3 miles from downtown,Double Room with Shared Toilet,N/A,$77
2025-09-21,booking.com,2,2025-10-03,2025-10-06,BIG Oasis Studio near Airport YYZ,Toronto,N/A,N/A,N/A,N/A,N/A,10.3 miles from downtown,Studio,N/A,$140
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"King-Queen Walk-in Residence - Walk to CN TOWER,SUBWAY,CONCERTS,PUBS,PARKING","Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.7 miles from downtown,Comfort Quadruple Room,N/A,$156
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Lower Penthouse Suite with Pools & Sunset Views,"Scarborough, Toronto",N/A,N/A,N/A,N/A,Late Escape Deal,11 miles from downtown,Two-Bedroom Apartment,N/A,$126
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Scarborough Townhouse,"Scarborough, Toronto",N/A,N/A,N/A,N/A,N/A,12.2 miles from downtown,Double Room,N/A,$74
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Entire Basement Apartment,"Etobicoke, Toronto",N/A,N/A,N/A,N/A,N/A,9.8 miles from downtown,Three-Bedroom Apartment,N/A,$229
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Lovely condo near Lake Ontario,"Etobicoke, Toronto",N/A,N/A,N/A,N/A,N/A,5.7 miles from downtown,One-Bedroom Apartment,N/A,$358
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"Newly Renovated 3BR North York Bungalow with Backyard Patio & Volleyball Set! Close to Rogers Stadium, TTC Subway Access, Perfect for Family Travel, Group Trips or Work Stays!","North York, Toronto",N/A,N/A,N/A,N/A,N/A,9.5 miles from downtown,Three-Bedroom Home,N/A,$166
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Best Downtown Toronto View!,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.7 miles from downtown,One-Bedroom Apartment,N/A,$259
2025-09-21,booking.com,2,2025-10-03,2025-10-06,BLOOR ST DOWNTOWN SUITE FULL APARTMENT -Private Patio,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.3 miles from downtown,Two-Bedroom Apartment,N/A,$218
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Royal Retreat 1B Condo in Downtown Toronto Yorkville,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,0.9 miles from downtown,Apartment,N/A,$300
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"Richview Gardens Suite, 3-bdr","Etobicoke, Toronto",N/A,N/A,N/A,N/A,N/A,8.9 miles from downtown,Three-Bedroom Apartment,N/A,$236
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Garden Nook Space Share,"Scarborough, Toronto",N/A,N/A,N/A,N/A,N/A,5.8 miles from downtown,One-Bedroom Apartment,N/A,$87
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"Private Rooms, Free Parking, Full Kitchen, Best Prices in Town- York University Heights","North York, Toronto",N/A,N/A,N/A,N/A,N/A,9.2 miles from downtown,Budget Double Room,N/A,$70
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"Skyline Suites - Walk to MTCC, ACC, Rogers Centre & Entertainment District","Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.7 miles from downtown,1 Bedroom City Suite,N/A,$236
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Liberty Village Home 5 mins to Lakeshore!,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.8 miles from downtown,One-Bedroom Apartment,N/A,$226
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Luxury Condo on Bay Street,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,0.9 miles from downtown,Two-Bedroom Apartment,N/A,$423
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Cozy Downtown 1BR Den Free Parking near CN Tower,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.2 miles from downtown,Two-Bedroom Apartment,N/A,$211
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Richview Gardens Apartment,"Etobicoke, Toronto",N/A,N/A,N/A,N/A,N/A,8.9 miles from downtown,Two-Bedroom Apartment,N/A,$163
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Lovely home in Leslieville,"Leslieville, Toronto (Leslieville)",N/A,N/A,N/A,N/A,N/A,2.5 miles from downtown,Two-Bedroom Villa,N/A,$162
2025-09-21,booking.com,2,2025-10-03,2025-10-06,2 bedrooms toronto suites,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.3 miles from downtown,Deluxe King Suite,N/A,$963
2025-09-21,booking.com,2,2025-10-03,2025-10-06,QUEEN-KING ST Stay with Private Patio- Unbeatable Location,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,0.9 miles from downtown,Triple Room with Balcony,N/A,$235
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Dreamy Chic Toronto Getaway,"Fashion District, Toronto (Fashion District)",N/A,N/A,N/A,N/A,N/A,1.2 miles from downtown,One-Bedroom Apartment,N/A,$290
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"Maple Leaf Stay-Walk to UOFT,DT,STREET CARS,BARS,ROM-Free Wifi","Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.1 miles from downtown,Deluxe Double Room,N/A,$150
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Toronto Uptown 1 - Bus to Downtown,"North York, Toronto",N/A,N/A,N/A,N/A,Late Escape Deal,8.1 miles from downtown,Double Room,N/A,$89
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"Hidden 3BR Gem with Workspace, Fast wifi and Parking","Scarborough, Toronto",N/A,N/A,N/A,N/A,N/A,6.2 miles from downtown,Holiday Home,N/A,$268
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"Spacious 1-Bdr Condo by CN Tower 4 Guests, Parking Included","Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.7 miles from downtown,One-Bedroom Apartment,N/A,$294
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Quaint and Cozy Haven,"Scarborough, Toronto",N/A,N/A,N/A,N/A,N/A,12 miles from downtown,Three-Bedroom House,N/A,$144
2025-09-21,booking.com,2,2025-10-03,2025-10-06,INFIVILLA King Suites & Towers Soho Toronto,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.7 miles from downtown,One-Bedroom Apartment,N/A,$235
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Clearbrooke Gem- Bright Private Bedroom close to YYZ,"Etobicoke, Toronto",N/A,N/A,N/A,N/A,N/A,10.2 miles from downtown,Queen Room with Shared Bathroom,N/A,$78
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Best Choice for Travellers,"Scarborough, Toronto",N/A,N/A,N/A,N/A,N/A,9.2 miles from downtown,Three-Bedroom House,N/A,$278
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Bright and Cozy 4 Bedrooms Home near Toronto,"Scarborough, Toronto",N/A,N/A,N/A,N/A,N/A,7.9 miles from downtown,Four-Bedroom House,N/A,$276
2025-09-21,booking.com,2,2025-10-03,2025-10-06,4 Bedrooms or 2 bedrooms house near Fairview Mall and 401 & DVP,"North York, Toronto",N/A,N/A,N/A,N/A,N/A,9.3 miles from downtown,Two-Bedroom House,N/A,$250
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Northwood,"North York, Toronto",N/A,N/A,N/A,N/A,N/A,9.9 miles from downtown,Deluxe Queen Room,N/A,$98
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Guest House Basement - Master Bedrooms in Bayview Village,"North York, Toronto",N/A,N/A,N/A,N/A,N/A,9.6 miles from downtown,King Room,N/A,$92
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Exquisitely Furnished 1BR Suite in DWTN Toronto,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.1 miles from downtown,One-Bedroom Apartment,N/A,$250
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Carlton House,"Cabbagetown, Toronto (Cabbagetown)",N/A,N/A,N/A,N/A,N/A,1.3 miles from downtown,King Room,N/A,$124
2025-09-21,booking.com,2,2025-10-03,2025-10-06,KingBed & Bunkbed & Terrace,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.2 miles from downtown,Two-Bedroom Apartment,N/A,$262
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Luxurious Spa Retreat - Toronto Escape,"North York, Toronto",N/A,N/A,N/A,N/A,N/A,6.1 miles from downtown,Villa,N/A,$784
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Grand 3 BR Toronto Victorian Entire Home,"Cabbagetown, Toronto (Cabbagetown)",N/A,N/A,N/A,N/A,N/A,0.9 miles from downtown,Three-Bedroom Townhouse,N/A,$409
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Toronto Stay Next To Beautiful High Park & ZOO,Toronto,N/A,N/A,N/A,N/A,N/A,4.5 miles from downtown,Deluxe Double Room,N/A,$139
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Spacious & Central 1 bdrm 2 real beds,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.1 miles from downtown,Two-Bedroom Apartment,N/A,$291
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Comfy 1Bdrm plus Den 3 real beds,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.2 miles from downtown,Two-Bedroom Apartment,N/A,$258
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Cozy house near HWY401 & Go station in Scarborough,"Scarborough, Toronto",N/A,N/A,N/A,N/A,N/A,15.4 miles from downtown,Three-Bedroom House,N/A,$334
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Cozy Luxurious Villa in Toronto,"Scarborough, Toronto",N/A,N/A,N/A,N/A,N/A,7.8 miles from downtown,One-Bedroom Villa,N/A,$457
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"Cozy 3BR Home with Parking, Backyard and Near Transit","Scarborough, Toronto",N/A,N/A,N/A,N/A,N/A,15.9 miles from downtown,Holiday Home,N/A,$217
2025-09-21,booking.com,2,2025-10-03,2025-10-06,FULL APARTMENT FOR 8 PEOPLE- Entertainment District Toronto,"Financial District, Toronto (Financial District)",N/A,N/A,N/A,N/A,N/A,0.4 miles from downtown,Three-Bedroom Apartment,N/A,$297
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"Luxury Home - 5 min from airport, 15 to downtown","Etobicoke, Toronto",N/A,N/A,N/A,N/A,N/A,9 miles from downtown,Villa,N/A,$580
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Exquisite 1 BR suite with study Core Downtown,Toronto,N/A,N/A,N/A,N/A,N/A,0.6 miles from downtown,One-Bedroom Apartment,N/A,$232
2025-09-21,booking.com,2,2025-10-03,2025-10-06,DT Townhome 1BR steps to transit,Toronto,N/A,N/A,N/A,N/A,N/A,3.2 miles from downtown,Double Room,N/A,$98
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Toronto Central Stay Living Bloor,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,0.4 miles from downtown,Triple Room with View,N/A,$122
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Tom home,Toronto,N/A,N/A,N/A,N/A,N/A,5 miles from downtown,Double Room with Shared Toilet,N/A,$60
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Queen Nest Hotel,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.3 miles from downtown,N/A,N/A,$84
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Park Motel,"Scarborough, Toronto",N/A,N/A,N/A,N/A,N/A,9.2 miles from downtown,Queen Room - Non-Smoking,N/A,$206
